guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
30842,Poems of West & East,en,19670,"Sackville-West, Vita (Victoria Mary)","['Nicolson, Victoria Mary Sackville-West', 'Sackville-West, Vita', 'Sackville-West, Victoria Mary (Vita)']",,[],eng,3904620,15703768,17256413,Poems of West and East,Poems of West and East,Vita Sackville-West,,"['poems', 'west', 'east']","['poems', 'west', 'east']",[15703768],[30842]
30853,Mrs. Raffles: Being the Adventures of an Amateur Crackswoman,en,3435,"Bangs, John Kendrick",[],0548530181,[],,26515,3680113,3723469,Mrs. Raffles: Being the Adventures of an Amateur Crackswoman,Mrs. Raffles: Being the Adventures of an Amateur Crackswoman,John Kendrick Bangs,Mrs. Raffles: Being The Adventures Of An Amateur Crackswoman,"['mrs', 'raffles', 'adventure', 'amateur', 'crackswoman']","['mrs', 'raffles', 'adventure', 'amateur', 'crackswoman']",[3680113],[30853]
30861,Breakfasts and Teas: Novel Suggestions for Social Occasions,en,2689,"Pierce, Paul","['Pierce, Paul Ashville']",,[],eng,2644388,13594328,7347011,Breakfasts and Teas: Novel Suggestions for Social Occasions,Breakfasts and Teas: Novel Suggestions for Social Occasions,Paul Pierce,,"['breakfasts', 'teas', 'novel', 'suggestions', 'social', 'occasions']","['breakfasts', 'teas', 'novel', 'suggestions', 'social', 'occasions']",[13594328],[30861]
30881,Two Little Women,en,687,"Wells, Carolyn","['Houghton, Carolyn Wells']",,['402683'],eng,263526,6214236,6394809,Two Little Women,Two Little Women,Carolyn Wells,Two Little Women,"['two', 'little', 'women']","['two', 'little', 'women']",[6214236],[30881]
30900,The Tyranny of God,en,6056,"Lewis, Joseph",[],0914937200,[],,6446,7591998,9984367,The Tyranny of God,The Tyranny of God,Joseph Lewis,,"['tyranny', 'god']","['tyranny', 'god']",[7591998],[30900]
30902,Expediter,en,512,"Reynolds, Mack","['McCord, Guy', 'Reynolds, Dallas McCord']",,['630485'],,127541,10467138,15372198,Expediter,Expediter,Mack Reynolds,,['expediter'],['expediter'],[10467138],[30902]
30953,The Boy Scout and Other Stories for Boys,en,289,"Davis, Richard Harding",[],1885529457,[],,121294,2620508,2645144,The Boy Scout and Other Stories for Boys,The Boy Scout and Other Stories for Boys,Richard Harding Davis,The Boy Scout,"['boy', 'scout', 'stories', 'boys']","['boy', 'scout', 'stories', 'boys']",[2620508],[30953]
30960,The People of the Crater,en,483,"Norton, Andre","['Norton, Andre Alice', 'Norton, Alice Mary', 'North, Andrew']",,[],,4766,29055614,6486074,The People of the Crater,The People of the Crater,Andre Norton,The People of the Crater,"['people', 'crater']","['people', 'crater']","[6428462, 21891044, 29055614]",[30960]
30962,An Apology for the Life of Mrs. Shamela Andrews,en,1121,"Fielding, Henry","['Trottplaid, John', 'Drawcansir, Alexander, Sir', 'Vinegar, Hercules', 'Gualterus, Petrus', 'Keyber, Conny']",1419146939,[],,17501,478684,1387611,An Apology for the Life of Mrs. Shamela Andrews,An Apology for the Life of Mrs. Shamela Andrews,Henry Fielding,An apology for the life of Mrs. Shamela Andrews,"['apology', 'life', 'mrs', 'shamela', 'andrews']","['apology', 'life', 'mrs', 'shamela', 'andrews']",[478684],[30962]
30963,A Knyght Ther Was,en,2831,"Young, Robert F.","['Young, Robert Franklin']",1153830337,[],,53600,8111112,12906111,A Knyght Ther Was,A Knyght Ther Was,Robert F. Young,,"['knyght', 'ther']","['knyght', 'ther']",[8111112],[30963]
30964,The Ethical Engineer,en,761,"Harrison, Harry","['Dempsey, Henry Maxwell', 'Harrison, Henry Maxwell']",1153830345,['182383'],,16147,7871129,2222126,The Ethical Engineer,The Ethical Engineer,Harry Harrison,Deathworld 2,"['ethical', 'engineer']","['ethical', 'engineer']","[7871129, 31809788]",[30964]
30970,Miss Cayley's Adventures,en,282,"Allen, Grant","['Allen, Charles Grant Blairfindie']",,[],en-US,130672,18828146,3802172,Miss Cayley's Adventures,Miss Cayley's Adventures,Grant Allen,Miss Cayley's Adventures,"['miss', 'cayley', 'adventure']","['miss', 'cayley', 'adventure']","[18828146, 3758291]",[30970]
30973,East of the Sun and West of the Moon: Old Tales from the North,en,4403,"Asbjørnsen, Peter Christen","['Asbjørnsen, P. C. (Peter Christen)', 'Asbjörnsen, P. Chr.', 'Asbjornsen, Peter Christen', 'Bonifacius, Clemens']",1850070121,[],eng,273501,9683124,50307338,East of the Sun and West of the Moon: Old Tales From the North,East of the Sun and West of the Moon: Old Tales From the North,Peter Christen Asbjornsen,,"['east', 'sun', 'west', 'moon', 'old', 'tales', 'north']","['east', 'sun', 'west', 'moon', 'old', 'tales', 'north']","[18394073, 30802340, 9683124, 4895622]",[30973]
30974,Jimbo: A Fantasy,en,1139,"Blackwood, Algernon",[],0548491054,[],,38840,2916227,2943444,Jimbo: A Fantasy,Jimbo: A Fantasy,Algernon Blackwood,Jimbo: A Fantasy,"['jimbo', 'fantasy']","['jimbo', 'fantasy']","[2916227, 18484883]",[30974]
30979,Nuala O'Malley,en,1716,"Bedford-Jones, H. (Henry)","[""Bedford-Jones, Henry James O'Brien""]",,[],,553572,8810428,13684652,Nuala O'Malley,Nuala O'Malley,H. Bedford-Jones,,"['nuala', 'omalley']","['nuala', 'omalley']",[8810428],[30979]
30980,"Kidnapped at the Altar; Or, The Romance of that Saucy Jessie Bain",en,14306,"Libbey, Laura Jean","['Stillwell, Laura Jean Libbey']",,[],en-GB,985329,11246132,15684170,"Kidnapped at the Altar Or, the Romance of That Saucy Jessie Bain","Kidnapped at the Altar Or, the Romance of That Saucy Jessie Bain",Laura Jean Libbey,Kidnapped at the Altar,"['kidnapped', 'altar', 'romance', 'saucy', 'jessie', 'bain']","['kidnapped', 'altar', 'romance', 'saucy', 'jessie', 'bain']",[11246132],[30980]
30989,Mystery Ranch,en,22881,"Chapman, Arthur",[],,[],,1523813,8638519,13509502,Mystery Ranch,Mystery Ranch,Arthur Chapman,,"['mystery', 'ranch']","['mystery', 'ranch']",[8638519],[30989]
31008,Frigid Fracas,en,512,"Reynolds, Mack","['McCord, Guy', 'Reynolds, Dallas McCord']",,[],,127541,8192459,56746951,Frigid Fracas,Frigid Fracas,Mack Reynolds,,"['frigid', 'fracas']","['frigid', 'fracas']",[8192459],[31008]
31019,Four Ghost Stories,en,98,"Molesworth, Mrs.","['Molesworth, Mary Louisa Stewart', 'Mrs. (Mary Louisa) Molesworth']",,[],,6692257,8703272,3299258,Four Ghost Stories,Four Ghost Stories,Mrs. Molesworth,Four Ghost Stories,"['four', 'ghost', 'stories']","['four', 'ghost', 'stories']","[8703272, 8367349]",[31019]
31029,"""I'll Leave It To You"": A Light Comedy In Three Acts",en,17449,"Coward, Noel","['Coward, Noel Pierce, Sir', 'Coward, Noël']",1408630249,[],,120035,14317517,19959313,I'll Leave It to You - A Light Comedy in Three Acts,I'll Leave It to You - A Light Comedy in Three Acts,Noel Coward,,"['ill', 'leave', 'light', 'comedy', 'three', 'acts']","['ill', 'leave', 'light', 'comedy', 'three', 'acts']",[14317517],[31029]
31031,"Guy Fawkes; Or, A Complete History Of The Gunpowder Treason, A.D. 1605",en,3869,"Lathbury, Thomas",[],1522759891,[],,14794560,28326080,48367476,"Guy Fawkes: Or a Complete History of the Gunpowder Treason, A.D. 1605","Guy Fawkes: Or a Complete History of the Gunpowder Treason, A.D. 1605",Rev Thomas Lathbury M a,,"['guy', 'fawkes', 'complete', 'history', 'gunpowder', 'treason', 'one thousand, six hundred and five']","['guy', 'fawkes', 'complete', 'history', 'gunpowder', 'treason', 'one thousand, six hundred and five']",[28326080],[31031]
31053,"The History of the Devil, As Well Ancient as Modern: In Two Parts",en,552,"Defoe, Daniel","['Defo, Daniel', 'Moreton, Andrew', 'John, Gabriel']",,[],,2007,8182051,293666,The History of the Devil As Well Ancient as Modern: In Two Parts,The History of the Devil As Well Ancient as Modern: In Two Parts,Daniel Defoe,The Political History of the Devil (Ams Studies in the Eighteenth Century),"['history', 'devil', 'well', 'ancient', 'modern', 'two', 'parts']","['history', 'devil', 'well', 'ancient', 'modern', 'two', 'parts']",[8182051],[31053]
31102,Stevenson Memorial Cook Book,en,21829,"Hurlbut, William D., Mrs.","['Hurlbut, Mrs. William D.']",,[],eng,14167999,25921827,27356959,The Stevenson Memorial Cook Book,The Stevenson Memorial Cook Book,Mrs. William D. Hurlbut,,"['stevenson', 'memorial', 'cook', 'book']","['stevenson', 'memorial', 'cook', 'book']",[25921827],[31102]
31103,A Christmas Greeting: A Series of Stories,en,790,"Andersen, H. C. (Hans Christian)","['Andersen, Hans Christian']",,[],en-US,6378,11405106,14115920,"A Christmas Greeting, A Series of Stories","A Christmas Greeting, A Series of Stories",Hans Christian Andersen,,"['christmas', 'greeting', 'series', 'stories']","['christmas', 'greeting', 'series', 'stories']",[11405106],[31103]
31110,My Impressions of America,en,5475,"Asquith, Margot","['Tennant, Emma Alice Margaret', 'Asquith, Margaret', 'Asquith, Emma Alice Margaret', 'Oxford and Asquith, Margot, Countess of']",,[],eng,2137398,10353988,15256900,My Impressions of America,My Impressions of America,Margot Asquith,My Impressions of America,"['impressions', 'america']","['impressions', 'america']",[10353988],[31110]
31111,"Across Asia on a Bicycle
The Journey of Two American Students from Constantinople to Peking",en,16486,"Allen, Thomas Gaskell",[],0548290687,[],,238934,2627698,200176,Across Asia on a Bicycle: The Journey of Two American Students from Constantinople to Peking,Across Asia on a Bicycle: The Journey of Two American Students from Constantinople to Peking,Thomas Gaskell Allen Jr.,Across Asia on a Bicycle: The Journey of Two American Students from Constantinople to Peking,"['across', 'asia', 'bicycle', 'journey', 'two', 'american', 'students', 'constantinople', 'peking']","['across', 'asia', 'bicycle', 'journey', 'two', 'american', 'students', 'constantinople', 'peking']","[2627698, 206826]",[31111]
31115,An Account of Our Arresting Experiences,en,3493,"Evans, Conway",[],,[],,4027851,8267784,13115866,An Account of Our Arresting Experiences,An Account of Our Arresting Experiences,Conway Evans,,"['account', 'arresting', 'experiences']","['account', 'arresting', 'experiences']",[8267784],[31115]
31124,A Diary Without Dates,en,16365,"Bagnold, Enid","['Jones, Enid Bagnold, Lady']",0860680363,[],eng,132132,1466274,1457180,A Diary Without Dates,A Diary Without Dates,Enid Bagnold,A Diary without Dates,"['diary', 'without', 'dates']","['diary', 'without', 'dates']","[32886066, 1466274, 12828540, 26953517]",[31124]
31131,Boys' Book of Indian Warriors and Heroic Indian Women,en,3608,"Sabin, Edwin L. (Edwin Legrand)","['Sabin, Edwin Legrand']",,[],,571174,18917500,20210791,Boys' Book of Indian Warriors and Heroic Indian Women,Boys' Book of Indian Warriors and Heroic Indian Women,Edwin L. Sabin,,"['boys', 'book', 'indian', 'warriors', 'heroic', 'indian', 'women']","['boys', 'book', 'indian', 'warriors', 'heroic', 'indian', 'women']",[18917500],[31131]
31133,Home Life of Great Authors,en,13106,"Griswold, Hattie Tyng",[],,[],,3182919,21177669,19946171,Home Life of Great Authors,Home Life of Great Authors,Hattie Tyng Griswold,,"['home', 'life', 'great', 'authors']","['home', 'life', 'great', 'authors']",[21177669],[31133]
31180,Ellen Middleton—A Tale,en,5842,"Fullerton, Georgiana","['Fullerton, Georgiana Charlotte Leveson-Gower', 'Fullerton, Lady Georgiana', 'Leveson-Gower, Georgiana Charlotte']",,[],,507587,9412251,14296344,Ellen Middleton-A Tale,Ellen Middleton-A Tale,Georgiana Fullerton,,"['ellen', 'middleton', 'tale']","['ellen', 'middleton', 'tale']",[9412251],[31180]
31189,The Monster and Other Stories,en,426,"Crane, Stephen","['Smith, Johnston']",0486790258,[],,19879,22323343,573971,The Monster and Other Stories,The Monster and Other Stories,Stephen Crane,The Monster and Other Stories,"['monster', 'stories']","['monster', 'stories']","[587138, 22323343]",[31189]
31193,Manifesto of the Communist Party,en,2847,"Marx, Karl","['Marx, Heinrich Karl']",1502893282,[],,7084,26462972,2205479,Manifesto of the Comunist Party,Manifesto of the Comunist Party,Karl Marx,Manifest der Kommunistischen Partei,"['manifesto', 'comunist', 'party']","['manifesto', 'communist', 'party']","[25538210, 15979650, 1142475, 33849771, 13600883, 26462972, 6035165]",[31193]
31207,Where the World is Quiet,en,13452,"Kuttner, Henry","['Liddell, C. H.']",,[],,70167,10379594,15283070,Where the World is Quiet,Where the World is Quiet,Henry Kuttner,,"['world', 'quiet']","['world', 'quiet']",[10379594],[31207]
31222,The Homicidal Diary,en,8932,"Peirce, Earl",[],,[],,7505313,19251636,27297779,The Homicidal Diary,The Homicidal Diary,Earl Peirce,,"['homicidal', 'diary']","['homicidal', 'diary']",[19251636],[31222]
31223,Infinite Intruder,en,1709,"Nourse, Alan Edward","['Edwards, Al', 'Nourse, Alan E. (Alan Edward)']",,[],eng,283392,8890548,20044861,Infinite Intruder,Infinite Intruder,Alan E. Nourse,,"['infinite', 'intruder']","['infinite', 'intruder']",[8890548],[31223]
31228,The House by the Lock,en,6,"Williamson, A. M. (Alice Muriel)","['Williamson, Alice Muriel', 'Williamson, Mrs. C. N.']",134656647X,[],,15004298,29188526,49426655,The House by the Lock,The House by the Lock,Mrs C Williamson (N),,"['house', 'lock']","['house', 'lock']","[7535669, 29188526]",[31228]
31243,Twentieth Century Inventions: A Forecast,en,6681,"Sutherland, George",[],054850900X,[],,1543496,6576660,6769989,Twentieth Century Inventions: A Forecast,Twentieth Century Inventions: A Forecast,George Sutherland,Twentieth Century Inventions: A Forecast,"['twentieth', 'century', 'inventions', 'forecast']","['twentieth', 'century', 'inventions', 'forecast']",[6576660],[31243]
31262,Rastignac the Devil,en,12808,"Farmer, Philip José","['Farmer, Philip Jose']",,[],eng,10089,9897077,17793497,Rastignac the Devil,Rastignac the Devil,Philip Jose Farmer,,"['rastignac', 'devil']","['rastignac', 'devil']",[9897077],[31262]
31266,Quality Street: A Comedy,en,3665,"Barrie, J. M. (James Matthew)","['Barrie, James Matthew', 'Barrie, J.M.']",,[],,5255014,17908638,1904628,Quality Street: A Comedy,Quality Street: A Comedy,J.M. Barrie,Quality Street,"['quality', 'street', 'comedy']","['quality', 'street', 'comedy']","[20347755, 17908638]",[31266]
31274,Lady Anna,en,155,"Trollope, Anthony",[],,[],eng,20524,11574406,2660954,Lady Anna,Lady Anna,Anthony Trollope,Lady Anna,"['lady', 'anna']","['lady', 'anna']","[556321, 3423713, 11574406]",[31274]
31275,"Letters to Eugenia; Or, A Preservative Against Religious Prejudices",en,2502,"Holbach, Paul Henri Thiry, baron d'","[""D'Holbach, Baron""]",1409992586,[],,1228712,8748458,13621644,"Letters to Eugenia; Or, a Preservative Against Religious Prejudices","Letters to Eugenia; Or, a Preservative Against Religious Prejudices",Paul Henri Thiry d'Holbach,,"['letters', 'eugenia', 'preservative', 'religious', 'prejudices']","['letters', 'eugenia', 'preservative', 'religious', 'prejudices']",[8748458],"[31275, 38094]"
31278,"The History of Freedom, and Other Essays",en,10970,"Acton, John Emerich Edward Dalberg Acton, Baron","['Acton, Lord']",1596052244,[],,16282503,5647808,5819283,The History of Freedom and Other Essays,The History of Freedom and Other Essays,John Emerich Edward Dalberg,The History of Freedom and Other Essays,"['history', 'freedom', 'essays']","['history', 'freedom', 'essays']",[5647808],[31278]
31308,Orientations,en,1409,"Maugham, W. Somerset (William Somerset)","['Maugham, Somerset', 'Maugham, William Somerset']",,[],,4176632,10400904,1615307,Orientations,Orientations,W. Somerset Maugham,Orientations (Collected Works of W. Somerset Maugham),['orientations'],['orientations'],"[10400904, 9219927]",[31308]
31320,The Wooing of Calvin Parks,en,1218,"Richards, Laura Elizabeth Howe","['Richards, Laura E.']",1406883417,[],,457230,14307707,19949489,The Wooing of Calvin Parks,The Wooing of Calvin Parks,Laura Elizabeth Richards,The wooing of Calvin Parks,"['wooing', 'calvin', 'parks']","['wooing', 'calvin', 'parks']",[14307707],[31320]
31324,The Angel of the Revolution: A Tale of the Coming Terror,en,4691,"Griffith, George Chetwynd","['Griffith-Jones, George Chetwynd']",1906469296,[],,3000622,14561194,17867743,The Angel of the Revolution: A Tale of the Coming Terror,The Angel of the Revolution: A Tale of the Coming Terror,George Chetwynd Griffith,,"['angel', 'revolution', 'tale', 'coming', 'terror']","['angel', 'revolution', 'tale', 'coming', 'terror']","[14561194, 12730523, 18232100]",[31324]
31342,The 3 Little Kittens,en,141,Anonymous,['Anonyme'],,[],,5158478,11818194,10851514,The 3 Little Kittens,The 3 Little Kittens,Anonymous,,"['three', 'little', 'kittens']","['three', 'little', 'kittens']","[11818194, 25141092]","[48420, 31342]"
31354,Death,en,1826,"Maeterlinck, Maurice",[],1417924950,[],eng,142051,1893574,1895038,Death,Death,Maurice Maeterlinck,La mort,['death'],['death'],"[3413592, 1893574]","[31354, 39212]"
31360,"Anthropology
As a Science and as a Branch of University Education in the United States",en,853,"Brinton, Daniel G. (Daniel Garrison)","['Brinton, D. G. (Daniel Garrison)', 'Brinton, Daniel Garrison']",,[],,200945,20359964,28560862,Anthropology As a Science and as a Branch of University Education in the United States,Anthropology As a Science and as a Branch of University Education in the United States,Daniel G. Brinton,,"['anthropology', 'science', 'branch', 'university', 'education', 'united', 'states']","['anthropology', 'science', 'branch', 'university', 'education', 'united', 'states']",[20359964],[31360]
31370,Mistress Nell: A Merry Tale of a Merry Time,en,21123,"Hazelton, George Cochrane","['Hazelton, George C. (George Cochrane)']",,[],,4297907,21070970,40434825,Mistress Nell A Merry Tale of a Merry Time,Mistress Nell A Merry Tale of a Merry Time,George C. Hazelton,,"['mistress', 'nell', 'merry', 'tale', 'merry', 'time']","['mistress', 'nell', 'merry', 'tale', 'merry', 'time']",[21070970],[31370]
31387,"Betty Wales, Freshman",en,8175,"Dunton, Edith K. (Edith Kellogg)","['Warde, Margaret', 'Dunton, Edith Kellogg']",3655299338,['171090'],,5278655,12893874,6657497,Betty Wales Freshman,Betty Wales Freshman,Edith K. Dunton,"Betty Wales, Freshman","['betty', 'wales', 'freshman']","['betty', 'wales', 'freshman']",[12893874],[31387]
31452,Roy Blakeley in the Haunted Camp,en,151,"Fitzhugh, Percy Keese","['Fitzhugh, Percy K.', 'Fitzhugh, P. K. (Percy Keese)']",1409991784,['215123'],eng,1014698,8492419,13357935,Roy Blakeley in the Haunted Camp,Roy Blakeley in the Haunted Camp,Percy Keese Fitzhugh,,"['roy', 'blakeley', 'haunted', 'camp']","['roy', 'blakeley', 'haunted', 'camp']",[8492419],[31452]
31472,Cynthia's Chauffeur,en,2488,"Tracy, Louis","['Holmes, Gordon']",140685672X,[],,866547,14304578,4154784,Cynthia's Chauffeur,Cynthia's Chauffeur,Louis Tracy,Cynthia's Chauffeur,"['cynthia', 'chauffeur']","['cynthia', 'chauffeur']",[14304578],[31472]
31479,Celebrated Women Travellers of the Nineteenth Century,en,2567,"Adams, W. H. Davenport (William Henry Davenport)","['Adams, W.H.', 'Adams, William Henry Davenport']",140686806X,[],,5452005,11440100,6707899,Celebrated Women Travellers of the Nineteenth Century,Celebrated Women Travellers of the Nineteenth Century,William Henry Davenport Adams,Celebrated Woman Travellers Of The Nineteenth Century,"['celebrated', 'women', 'travellers', 'nineteenth', 'century']","['celebrated', 'women', 'travellers', 'nineteenth', 'century']",[11440100],[31479]
31481,Tales from the Lands of Nuts and Grapes (Spanish and Portuguese Folklore),en,15220,"Sellers, Charles",[],,[],eng,6013222,19024503,20083686,Tales from the Lands of Nuts and Grapes Spanish and Portuguese Folklore,Tales from the Lands of Nuts and Grapes Spanish and Portuguese Folklore,Charles Sellers,,"['tales', 'lands', 'nuts', 'grapes', 'spanish', 'portuguese', 'folklore']","['tales', 'lands', 'nuts', 'grapes', 'spanish', 'portuguese', 'folklore']",[19024503],[31481]
31501,The Sensitive Man,en,3463,"Anderson, Poul","['Anderson, Poul William']",,[],,32278,9406554,14290523,The Sensitive Man by,The Sensitive Man by,Poul Anderson,,"['sensitive', 'man']","['sensitive', 'man']",[9406554],[31501]
31516,The Eyes Have It,en,2149,"Dick, Philip K.","['Dick, Philip Kindred']",,[],eng,4764,35563615,6690785,The Eyes Have It,The Eyes Have It,Philip K. Dick,The Eyes Have It,['eyes'],['eyes'],"[6499274, 12186706, 12034578, 31449822, 35563615]",[31516]
31522,The Pearl of Orr's Island: A Story of the Coast of Maine,en,849,"Stowe, Harriet Beecher","['Stowe, H. B. (Harriet Beecher)', 'Crowfield, Christopher', 'Stowe, Harriet Elizabeth Beecher']",,[],,26242,11156917,888362,The Pearl of Orr's Island:  A Story of the Coast of Maine,The Pearl of Orr's Island:  A Story of the Coast of Maine,Harriet Beecher Stowe,The Pearl of Orr's Island:  A Story of the Coast of Maine,"['pearl', 'orr', 'island', 'story', 'coast', 'maine']","['pearl', 'orr', 'island', 'story', 'coast', 'maine']","[11156917, 903191]",[31522]
31542,Pierre and Luce,en,5744,"Rolland, Romain","['Rollan, R.']",1595690603,[],,41495,425904,414962,Pierre and Luce,Pierre and Luce,Romain Rolland,Pierre et Luce,"['pierre', 'luce']","['pierre', 'luce']",[425904],[31542]
31578,"Room Number 3, and Other Detective Stories",en,358,"Green, Anna Katharine","['Rohlfs, Anna Katharine Green', 'Rohlfs, Mrs. Charles']",1409991504,[],,60005,10189434,11366672,Room Number 3 and Other Detective Stories,Room Number 3 and Other Detective Stories,Anna Katharine Green,Room Number 3 and Other Detective Stories,"['room', 'number', 'three', 'detective', 'stories']","['room', 'number', 'three', 'detective', 'stories']",[10189434],[31578]
31591,Language of Flowers,en,12979,"Greenaway, Kate","['Greenaway, K. (Kate)']",1445508702,[],,223748,9473594,383496,Language of Flowers,Language of Flowers,Kate Greenaway,Language of Flowers,"['language', 'flowers']","['language', 'flowers']","[9473594, 393941]",[31591]
31610,The Books of Chilan Balam: The Prophetic and Historic Records of the Mayas of Yucatan,en,853,"Brinton, Daniel G. (Daniel Garrison)","['Brinton, D. G. (Daniel Garrison)', 'Brinton, Daniel Garrison']",,[],en-GB,200945,18889039,13616115,"The Books of Chilan Balam, the Prophetic and Historic Records of the Mayas of Yucatan","The Books of Chilan Balam, the Prophetic and Historic Records of the Mayas of Yucatan",Daniel G. Brinton,,"['books', 'chilan', 'balam', 'prophetic', 'historic', 'records', 'mayas', 'yucatan']","['books', 'chilan', 'balam', 'prophetic', 'historic', 'records', 'mayas', 'yucatan']",[18889039],[31610]
31615,Chicago's Black Traffic in White Girls,en,9575,"Turner-Zimmermann, Jean",[],,[],,2539021,19250708,16044934,Chicago's Black Traffic in White Girls,Chicago's Black Traffic in White Girls,Jean Turner-Zimmermann,,"['chicago', 'black', 'traffic', 'white', 'girls']","['chicago', 'black', 'traffic', 'white', 'girls']",[19250708],[31615]
31619,The Planet Savers,en,6298,"Bradley, Marion Zimmer",[],,[],,4841825,11406971,25886956,The Planet Savers,The Planet Savers,Marion Zimmer Bradley,,"['planet', 'savers']","['planet', 'savers']","[11406971, 12359692, 17232406]",[31619]
31626,The Vilbar Party,en,2443,"Smith, Evelyn E.",[],,[],eng,275466,13349675,14857888,The Vilbar Party,The Vilbar Party,Evelyn E. Smith,,"['vilbar', 'party']","['vilbar', 'party']",[13349675],[31626]
31635,The Silent Barrier,en,2488,"Tracy, Louis","['Holmes, Gordon']",1406856738,[],,866547,8866935,13118696,The Silent Barrier,The Silent Barrier,Louis Tracy,,"['silent', 'barrier']","['silent', 'barrier']",[8866935],[31635]
31647,Kept for the Master's Use,en,5345,"Havergal, Frances Ridley","['Havergal, F. R. (Frances Ridley)']",1475072155,[],,808848,19662912,2920588,Kept for the Master's Use,Kept for the Master's Use,Frances Ridley Havergal,Kept for the Master's use (Summit books),"['kept', 'master', 'use']","['kept', 'master', 'use']","[19662912, 12854091]",[31647]
31652,Conquest Over Time,en,11038,"Shaara, Michael",[],,[],,16892,8135677,12931946,Conquest Over Time,Conquest Over Time,Michael Shaara,,"['conquest', 'time']","['conquest', 'time']",[8135677],[31652]
31655,A Daughter of the Forest,en,1023,"Raymond, Evelyn","['Raymond, Evelyn Hunt']",1115464221,[],,2080476,7955497,11633005,A Daughter of the Forest,A Daughter of the Forest,Evelyn Raymond,,"['daughter', 'forest']","['daughter', 'forest']",[7955497],[31655]
31661,Exile from Space,en,18986,"Merril, Judith","['Grossman, Josephine Juliet']",,[],,171627,8271716,13119929,Exile from Space,Exile from Space,Judith Merril,,"['exile', 'space']","['exile', 'space']",[8271716],[31661]
31663,The Six Fingers of Time,en,9227,"Lafferty, R. A.","['Lafferty, Raphael Aloysius']",,[],,4471254,12173594,14585094,The Six Fingers of Time,The Six Fingers of Time,R.A. Lafferty,,"['six', 'fingers', 'time']","['six', 'fingers', 'time']","[9696929, 12173594]",[31663]
31676,Heathen Master Filcsik,en,4118,"Mikszáth, Kálmán","['Mikszath, Kalman', 'Kálmán Mikszáth']",,[],,248408,10818944,15732653,Heathen Master Filcsik,Heathen Master Filcsik,Kalman Mikszath,Az a pogany Filcsik,"['heathen', 'master', 'filcsik']","['heathen', 'master', 'filcsik']",[10818944],[31676]
31681,Hand and Ring,en,358,"Green, Anna Katharine","['Rohlfs, Anna Katharine Green', 'Rohlfs, Mrs. Charles']",,['266645'],,60005,12377391,13746831,Hand and Ring,Hand and Ring,Anna Katharine Green,Hand and Ring,"['hand', 'ring']","['hand', 'ring']",[12377391],[31681]
31709,Our Southern Highlanders,en,4619,"Kephart, Horace",[],1117389391,[],,124919,8558773,811583,Our Southern Highlanders,Our Southern Highlanders,Horace Kephart,Our Southern Highlanders: A Narrative of Adventure in the Southern Appalachians and a Study of Life Among the Mountaineers,"['southern', 'highlanders']","['southern', 'highlanders']",[8558773],[31709]
31723,Cecilia: A Story of Modern Rome,en,814,"Crawford, F. Marion (Francis Marion)","['Crawford, Francis Marion']",1177877554,[],,6478378,9495418,14380908,Cecilia; A Story of Modern Rome,Cecilia; A Story of Modern Rome,Francis Marion Crawford,,"['cecilia', 'story', 'modern', 'rome']","['cecilia', 'story', 'modern', 'rome']",[9495418],[31723]
31754,Devil Stories: An Anthology,en,13613,"Rudwin, Maximilian J. (Maximilian Josef)","['Rudwin, Maximilian Josef']",1443771554,[],,1016845,14374645,20016606,Devil Stories - An Anthology,Devil Stories - An Anthology,Maximilian J. Rudwin,,"['devil', 'stories', 'anthology']","['devil', 'stories', 'anthology']",[14374645],[31754]
31765,My Lady of the Chimney Corner,en,24004,"Irvine, Alexander","['Irvine, Alexander Fitzgerald']",0862814642,[],,4723631,1005128,796287,My Lady Of The Chimney Corner,My Lady Of The Chimney Corner,Alexander Irvine,My Lady of the Chimney Corner,"['lady', 'chimney', 'corner']","['lady', 'chimney', 'corner']","[1005128, 31611707]",[31765]
31770,The Struggle for Missouri,en,2333,"McElroy, John",[],,[],,144334,19164929,12315455,The Struggle for Missouri,The Struggle for Missouri,John McElroy,,"['struggle', 'missouri']","['struggle', 'missouri']",[19164929],[31770]
31790,Family Limitation,en,14402,"Sanger, Margaret","['Higgins, Margaret Louisa', 'Sanger, Margaret Higgins']",,[],eng,264856,8623050,13493734,Family Limitation,Family Limitation,Margaret Sanger,,"['family', 'limitation']","['family', 'limitation']",[8623050],[31790]
31796,"Logic, Inductive and Deductive",en,14527,"Minto, William",[],,[],en-US,706228,13411251,8090891,Logic: Inductive And Deductive,Logic: Inductive And Deductive,William Minto,,"['logic', 'inductive', 'deductive']","['logic', 'inductive', 'deductive']",[13411251],[31796]
31799,Sketch of a New Esthetic of Music,en,10140,"Busoni, Ferruccio","['Busoni, Ferruccio Benvenuto', 'Busoni, Ferrucio', 'Busoni, F. (Ferruccio)', 'Busoni, Feruccio']",1406770183,[],,476317,9627456,14514734,Sketch of a New Esthetic of Music,Sketch of a New Esthetic of Music,Ferruccio Busoni,,"['sketch', 'new', 'esthetic', 'music']","['sketch', 'new', 'esthetic', 'music']",[9627456],[31799]
